Pathways	Compounds of pathway	Reactions of pathway	SMILES
S-methyl-5'-thioadenosine degradation II	S-methyl-5-thio-alpha-D-ribose 1-phosphate // adenine // S-methyl-5'-thioadenosine // phosphate	S-methyl-5'-thioadenosine + phosphate  <-->  adenine + S-methyl-5-thio-alpha-D-ribose 1-phosphate	CSC[C@H]1(O[C@H](OP([O-])(=O)[O-])[C@@H]([C@@H]1O)O) // C2(N)(\N=C/N=C1(C(/N=C\N1)=2)) // CSC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [O-]P(=O)(O)[O-]
biotin biosynthesis from 8-amino-7-oxononanoate I	(7R,8S)-8-amino-7-(carboxyamino)nonanoate // ADP // phosphate // CO2 // ATP // (7R,8S)-diaminononanoate // S-adenosyl-4-methylsulfanyl-2-oxobutanoate // (8S)-8-amino-7-oxononanoate // an oxidized [2Fe-2S] ferredoxin // an unsulfurated [sulfur carrier] // a sulfurated [sulfur carrier] // dethiobiotin // a reduced [2Fe-2S] ferredoxin // H+ // L-methionine // 5'-deoxyadenosine // biotin // S-adenosyl-L-methionine // 4,5-secobiotin	4,5-secobiotin + S-adenosyl-L-methionine  ->  5'-deoxyadenosine + L-methionine + biotin + H+ // sulfurated [sulfur carrier] + dethiobiotin + 2 reduced [2Fe-2S] ferredoxin + S-adenosyl-L-methionine + H+  ->  unsulfurated [sulfur carrier] + 4,5-secobiotin + 5'-deoxyadenosine + L-methionine + 2 oxidized [2Fe-2S] ferredoxin // (8S)-8-amino-7-oxononanoate + S-adenosyl-L-methionine  <-->  S-adenosyl-4-methylsulfanyl-2-oxobutanoate + (7R,8S)-diaminononanoate // CO2 + (7R,8S)-diaminononanoate + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	C[C@@H]([C@@H](CCCCCC([O-])=O)NC(=O)[O-])[NH3+] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [O-]P(=O)(O)[O-] // C(=O)=O // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C[C@@H]([C@@H](CCCCCC([O-])=O)[NH3+])[NH3+] // C[S+](C[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))CCC(C(=O)[O-])=O // C[C@@H](C(CCCCCC([O-])=O)=O)[NH3+] // [Fe+3]1([L-cysteine][a protein])([L-cysteine][a protein])([S-2][Fe+3]([L-cysteine][a protein])([L-cysteine][a protein])[S-2]1) // [R] // S[R] // C[C@@H]1(NC(=O)N[C@@H]1CCCCCC(=O)[O-]) // [Fe+2]1([L-cysteine][a protein])([L-cysteine][a protein])([S-2][Fe+3]([L-cysteine][a protein])([L-cysteine][a protein])[S-2]1) // [H+] // CSCC[C@H]([NH3+])C([O-])=O // C[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](O)3) // C1(S[C@@H](CCCCC(=O)[O-])[C@H]2(NC(=O)N[C@@H]12)) // C[S+](C[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))CC[C@@H](C(=O)[O-])[NH3+] // C(S)C1(C(NC(N1)=O)CCCCCC(=O)[O-])
4-aminobutyrate degradation	L-glutamate // 2-oxoglutarate // 4-aminobutanoate // H+ // succinate // NAD(P)H // succinate semialdehyde // NAD(P)+ // H2O	succinate semialdehyde + NAD(P)+ + H2O  ->  succinate + NAD(P)H + 2 H+ // 2-oxoglutarate + 4-aminobutanoate  ->  L-glutamate + succinate semialdehyde	C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C(CC([O-])=O)C(=O)C([O-])=O // C(C[NH3+])CC([O-])=O // [H+] // C(C([O-])=O)CC([O-])=O // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O[R])[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)) // C(C=O)CC(=O)[O-] // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O[R])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // O
pyrimidine deoxyribonucleotides de novo biosynthesis I	dCTP // diphosphate // dUTP // a 7,8-dihydrofolate // a 5,10-methylenetetrahydrofolate // dUMP // dTMP // ADP // dTTP // dTDP // ATP // UDP // dUDP // a reduced thioredoxin // dCDP // an oxidized thioredoxin // CDP // phosphate // H+ // H2O // CTP	CTP + H2O  ->  CDP + phosphate + H+ // dCDP + oxidized thioredoxin + H2O  <-  CDP + reduced thioredoxin // dUDP + oxidized thioredoxin + H2O  <-  UDP + reduced thioredoxin // dTDP + ATP  ->  dTTP + ADP // dTMP + ATP  ->  dTDP + ADP // a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate // dUTP + H2O  ->  dUMP + diphosphate + H+ // dUDP + ATP  ->  dUTP + ADP // dCDP + ATP  ->  dCTP + ADP	C(OP(OP(=O)([O-])OP(=O)([O-])[O-])(=O)[O-])[C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O) // O=P(O)(OP([O-])([O-])=O)[O-] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))C[C@H](O)2) // C([R])(CC[C@@H](C(=O)[O-])NC(=O)C3(\C=C/C(/NCC1(CNC2(/N=C(N)\NC(=O)C(/N=1)=2)))=C\C=3))=O // C3(NC4(/N=C(N)\NC(=O)C(/N2(CN(C1(\C=C/C(/C(=O)N[C@@H](CCC([R])=O)C([O-])=O)=C\C=1))C[C@@H]23))=4)) // C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))C[C@H](O)2) // CC1(\C(=O)NC(=O)N(\C=1)[C@H]2(C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // CC1(\C(=O)NC(=O)N(\C=1)[C@H]2(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)) // CC1(\C(=O)NC(=O)N(\C=1)[C@H]2(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))C[C@H](O)2) // C(S)C(C(=O)NC([R1])C(=O)NC([R2])C(=O)NC(CS)C(=O)[a thioredoxin])N[a thioredoxin] // C(OP(OP([O-])([O-])=O)(=O)[O-])[C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O) // C1(=O)(NC([R2])C(=O)NC(CSSCC(N[a thioredoxin])C(=O)NC([R1])1)C(=O)[a thioredoxin]) // C(OP(OP([O-])([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O) // [O-]P(=O)(O)[O-] // [H+] // O // C(OP(OP(OP(=O)([O-])[O-])([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O)
tyrosine biosynthesis	chorismate // L-glutamate // L-tyrosine // 2-oxoglutarate // NADH // CO2 // 3-(4-hydroxyphenyl)pyruvate // prephenate // NAD+	prephenate + NAD+  ->  3-(4-hydroxyphenyl)pyruvate + CO2 + NADH // L-tyrosine + 2-oxoglutarate  <-->  3-(4-hydroxyphenyl)pyruvate + L-glutamate // chorismate  ->  prephenate	C=C(C(=O)[O-])O[C@H]1([C@H](O)\C=C/C(/C([O-])=O)=C\1) // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C([C@H](CC1(\C=C/C(/O)=C\C=1))[NH3+])(=O)[O-] // C(CC([O-])=O)C(=O)C([O-])=O // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(=O)=O // C1(\C(/CC(C([O-])=O)=O)=C/C=C(\C=1)/O) // C(=O)([O-])C(=O)C[C@]1(C(=O)[O-])(\C=C/[C@@H](O)\C=C/1) // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
L-lysine degradation III	coenzyme A // L-lysine // acetyl-CoA // N6-acetyl-L-lysine // CO2 // 2-keto-6-acetamidocaproate // acetate // 5-acetamidovalerate // H+ // NADH // glutarate // H2O // NAD+ // glutarate semialdehyde // L-glutamate // 5-aminopentanoate // 2-oxoglutarate	5-aminopentanoate + 2-oxoglutarate  <-->  L-glutamate + glutarate semialdehyde // glutarate semialdehyde + NAD+ + H2O  ->  glutarate + NADH + 2 H+ // 5-acetamidovalerate + H2O  ->  5-aminopentanoate + acetate // 2-keto-6-acetamidocaproate + NAD+ + H2O  ->  5-acetamidovalerate + CO2 + NADH + H+ // N6-acetyl-L-lysine + 2-oxoglutarate  <-->  L-glutamate + 2-keto-6-acetamidocaproate // L-lysine + acetyl-CoA  ->  N6-acetyl-L-lysine + coenzyme A + H+	CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // C([NH3+])CCC[C@H]([NH3+])C([O-])=O // CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP([O-])(OC[C@@H]1([C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))=O)([O-])=O // CC(NCCCC[C@H]([NH3+])C(=O)[O-])=O // C(=O)=O // CC(NCCCCC(=O)C([O-])=O)=O // CC([O-])=O // CC(NCCCCC([O-])=O)=O // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(CC([O-])=O)CC(=O)[O-] // O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(CCCC(=O)[O-])=O // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C(CC[NH3+])CC(=O)[O-] // C(CC([O-])=O)C(=O)C([O-])=O
3-phosphoinositide biosynthesis	CMP // a CDP-diacylglycerol // myo-inositol // a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate // a 1-phosphatidyl-1D-myo-inositol 4-phosphate // 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate // a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate // a 1-phosphatidyl-1D-myo-inositol // H+ // ADP // ATP // phosphate // a 1-phosphatidyl-1D-myo-inositol 3-phosphate // 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate // H2O	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate + H2O  ->  a 1-phosphatidyl-1D-myo-inositol 3-phosphate + phosphate // a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ATP  ->  1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate + ADP + H+ // a 1-phosphatidyl-1D-myo-inositol + ATP  ->  a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ADP + H+ // a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + ATP  ->  1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate + ADP + H+ // a 1-phosphatidyl-1D-myo-inositol 4-phosphate + ATP  ->  a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + ADP + H+ // a 1-phosphatidyl-1D-myo-inositol 4-phosphate + ATP  ->  a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate + ADP + H+ // a CDP-diacylglycerol + myo-inositol  ->  a 1-phosphatidyl-1D-myo-inositol + CMP + H+ // a 1-phosphatidyl-1D-myo-inositol + ATP  ->  a 1-phosphatidyl-1D-myo-inositol 4-phosphate + ADP + H+	C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C(OP(OP([O-])(=O)OC[C@@H](COC([R1])=O)OC(=O)[R2])(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O) // [C@H]1([C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)O)O // C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1))OC(=O)[R2] // C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@@H]1([C@H](O)[C@H](OP([O-])([O-])=O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)1))OC(=O)[R2] // [H+] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [O-]P(=O)(O)[O-] // C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@@H]1([C@H](O)[C@H](OP([O-])([O-])=O)[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)1))OC(=O)[R2] // O
stearate biosynthesis	an [acyl carrier protein] domain within a fatty acid synthase // CO2 // a palmitoyl-[acp domain within a fatty acid synthase] // malonyl-CoA // a stearoyl-[acp domain within a fatty acid synthase] // coenzyme A // stearate // stearoyl-CoA // H+ // NADPH // a 3-oxooctadecanoyl-[acp domain within a fatty acid synthase] // NADP+ // H2O // a (2E)-octadec-2-enoyl-[acp domain within a fatty acid synthase] // a (3R)-3-hydroxyoctadecanoyl-[acp domain within a fatty acid synthase]	(3R)-3-hydroxyoctadecanoyl-[acp domain within a fatty acid synthase]  ->  (2E)-octadec-2-enoyl-[acp domain within a fatty acid synthase] + H2O // (3R)-3-hydroxyoctadecanoyl-[acp domain within a fatty acid synthase] + NADP+  <-  3-oxooctadecanoyl-[acp domain within a fatty acid synthase] + NADPH + H+ // stearoyl-CoA + H2O  ->  stearate + coenzyme A + H+ // stearoyl-[acp domain within a fatty acid synthase] + NADP+  <-  (2E)-octadec-2-enoyl-[acp domain within a fatty acid synthase] + NADPH + H+ // palmitoyl-[acp domain within a fatty acid synthase] + malonyl-CoA + H+  ->  3-oxooctadecanoyl-[acp domain within a fatty acid synthase] + CO2 + coenzyme A // stearoyl-[acp domain within a fatty acid synthase] + coenzyme A  ->  stearoyl-CoA + [acyl carrier protein] domain within a fatty acid synthase	CC(C)(COP(=O)([O-])OC[C@H](N[a type I fatty acid synthase])C(=O)[a type I fatty acid synthase])[C@@H](O)C(=O)NCCC(=O)NCCS // C(=O)=O // CCCCCCCCCCCCCCCC(SCCNC(=O)CCNC([C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[a type I fatty acid synthase])C(=O)[a type I fatty acid synthase])=O)=O // CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-] // CCCCCCCCCCCCCCCCCC(SCCNC(=O)CCNC([C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[a type I fatty acid synthase])C(=O)[a type I fatty acid synthase])=O)=O // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // CCCCCCCCCCCCCCCCCC(=O)[O-] // CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC([C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@@H]1([C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))=O // [H+] // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // CCCCCCCCCCCCCCCC(=O)CC(SCCNC(=O)CCNC([C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[a type I fatty acid synthase])C(=O)[a type I fatty acid synthase])=O)=O // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // O // CCCCCCCCCCCCCCC/C=C/C(SCCNC(=O)CCNC([C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[a type I fatty acid synthase])C(=O)[a type I fatty acid synthase])=O)=O // CCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC([C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[a type I fatty acid synthase])C(=O)[a type I fatty acid synthase])=O
fructose 2,6-bisphosphate biosynthesis	phosphate // H2O // ADP // beta-D-fructose 2,6-bisphosphate // H+ // beta-D-fructofuranose 6-phosphate // ATP	beta-D-fructofuranose 6-phosphate + ATP  ->  beta-D-fructose 2,6-bisphosphate + ADP + H+ // beta-D-fructose 2,6-bisphosphate + H2O  ->  beta-D-fructofuranose 6-phosphate + phosphate	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).
glycine cleavage	CO2 // glycine // ammonium // a 5,10-methylenetetrahydrofolate // a [glycine-cleavage complex H protein] N6-aminomethyldihydrolipoyl-L-lysine // a tetrahydrofolate // H+ // NADH // a [glycine-cleavage complex H protein] N6-[(R)-lipoyl]-L-lysine // a [glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine // NAD+	a [glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine + NAD+  <-->  a [glycine-cleavage complex H protein] N6-[(R)-lipoyl]-L-lysine + NADH + H+ // a [glycine-cleavage complex H protein] N6-aminomethyldihydrolipoyl-L-lysine + a tetrahydrofolate  <-->  a [glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine + a 5,10-methylenetetrahydrofolate + ammonium // glycine + a [glycine-cleavage complex H protein] N6-[(R)-lipoyl]-L-lysine + H+  <-->  CO2 + a [glycine-cleavage complex H protein] N6-aminomethyldihydrolipoyl-L-lysine	C(=O)=O // C([NH3+])C([O-])=O // [NH4+] // C3(NC4(/N=C(N)\NC(=O)C(/N2(CN(C1(\C=C/C(/C(=O)N[C@@H](CCC([R])=O)C([O-])=O)=C\C=1))C[C@@H]23))=4)) // C(NC(=O)CCCCC(CCSC[NH3+])S)CCC[C@@H](C(=O)[a glycine-cleavage complex H protein])N[a glycine-cleavage complex H protein] // [R] // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(NC(=O)CCCC[C@@H]1(SSCC1))CCC[C@@H](C(=O)[a glycine-cleavage complex H protein])N[a glycine-cleavage complex H protein] // C(NC(=O)CCCCC(CCS)S)CCC[C@@H](C(=O)[a glycine-cleavage complex H protein])N[a glycine-cleavage complex H protein] // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
L-glutamate biosynthesis IV	H2O // ammonia // ammonium // H+ // NADH // 2-oxoglutarate // L-glutamine // NAD+ // L-glutamate	2 L-glutamate + NAD+  <-  L-glutamine + 2-oxoglutarate + NADH + H+	O // N // [NH4+] // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(CC([O-])=O)C(=O)C([O-])=O // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O
prenylated FMNH2 biosynthesis	prenyl diphosphate // H2O // H+ // ADP // prenol // ATP // phosphate // prenylated FMNH2 // FMNH2 // prenyl phosphate	prenyl phosphate + FMNH2  ->  prenylated FMNH2 + phosphate // prenol + ATP  ->  prenyl phosphate + ADP + H+ // prenyl diphosphate + H2O  ->  prenyl phosphate + phosphate + H+	CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-] // O // [H+] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // CC(C)=CCO // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [O-]P(=O)(O)[O-] // CC1(\C(/C)=C2(C(C)(C)CCN3(C4(/C(=O)NC(=O)NC(\N(C[C@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-])C(/C=1)=C2/3)=4)))) // CC1(\C(/C)=C/C2(/N(C[C@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-])C3(/NC(=O)NC(=O)C(\NC(/C=1)=2)=3))) // CC(C)=CCOP(=O)([O-])[O-]
CDP-diacylglycerol biosynthesis I	diphosphate // a CDP-diacylglycerol // CTP // a phosphatidate // coenzyme A // a 2-lysophosphatidate // an acyl-CoA // H+ // NAD(P)H // glycerone phosphate // sn-glycerol 3-phosphate // NAD(P)+	sn-glycerol 3-phosphate + NAD(P)+  <-  glycerone phosphate + NAD(P)H + H+ // an acyl-CoA + sn-glycerol 3-phosphate  ->  a 2-lysophosphatidate + coenzyme A // an acyl-CoA + a 2-lysophosphatidate  ->  a phosphatidate + coenzyme A // CTP + a phosphatidate + H+  ->  a CDP-diacylglycerol + diphosphate	O=P(O)(OP([O-])([O-])=O)[O-] // C(OP(OP([O-])(=O)OC[C@@H](COC([R1])=O)OC(=O)[R2])(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O) // C(OP(OP(OP(=O)([O-])[O-])([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C(OC([R1])=O)[C@@H](OC(=O)[R2])COP([O-])(=O)[O-] // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // C([C@@H](O)COP([O-])(=O)[O-])OC(=O)[R] // C([R])(=O)[O-] // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O[R])[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)) // C(C(=O)CO)OP([O-])([O-])=O // C(OP([O-])(=O)[O-])[C@H](O)CO // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O[R])[C@H](O)4))(=O)[O-])(=O)[O-]))=5)
phosphatidylserine and phosphatidylethanolamine biosynthesis I	CMP // a CDP-diacylglycerol // L-serine // CO2 // a phosphatidylethanolamine // a phosphatidylserine // H+	a phosphatidylserine + H+  ->  a phosphatidylethanolamine + CO2 // a CDP-diacylglycerol + L-serine  ->  CMP + a phosphatidylserine + H+	C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C(OP(OP([O-])(=O)OC[C@@H](COC([R1])=O)OC(=O)[R2])(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O) // C(O)[C@H]([NH3+])C(=O)[O-] // C(=O)=O // C(OP([O-])(=O)OC[C@@H](COC(=O)[R1])OC(=O)[R2])C[NH3+] // C([C@H](OC([R2])=O)COC([R1])=O)OP([O-])(=O)OC[C@@H](C([O-])=O)[NH3+] // [H+]
L-phenylalanine degradation I (aerobic)	a 4a-hydroxytetrahydrobiopterin // L-tyrosine // L-phenylalanine // dioxygen // 5,6,7,8-tetrahydrobiopterin	L-phenylalanine + 5,6,7,8-tetrahydrobiopterin + dioxygen  ->  L-tyrosine + a 4a-hydroxytetrahydrobiopterin	CC(O)C(O)[C@H]1(CNC2(/N=C(N)\NC(C(/N1)=2)=O)) // C([C@H](CC1(\C=C/C(/O)=C\C=1))[NH3+])(=O)[O-] // C([O-])(=O)[C@@H]([NH3+])CC1(\C=C/C=C\C=1) // O=O
